id,question,answer,description,tag,cues_facial,cues_hands,cues_posture,cues_legs
INT-871,"Did you have any role in the burglary at the jewelry store in Bangkok, and if so, what items were targeted?","No, I wasn’t involved. I’m just a security guard, I patrol areas, not rob them.","Intermediate tactic: Probing involvement in a Thai burglary case. Setting: humid police station, street food smells. Male suspect, defensive tone, typical of Bangkok’s polite restraint.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-872,"What was your role in the murder plot in Beijing, and who else was involved?","I don’t know anything about a plot. I’m just a driver, I drop off packages, nothing else.","Advanced tactic: Conspiracy probe in a Chinese murder case. Setting: busy police station, city hum. Female suspect, evasive tone, typical of Beijing’s reserved demeanor.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-873,"Can you confirm your whereabouts during the fraud incident at the corporate office in Istanbul, and who can verify your story?","I was at a café with colleagues, having lunch. They can confirm, we were there for an hour.","Basic tactic: Alibi verification in a Turkish fraud case. Setting: noisy police station, smell of kebabs. Male suspect, cooperative tone, reflecting Istanbul’s warm hospitality.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-874,"Did you tamper with the evidence in the molestation case in Paris, and if so, what was your motive?","No, I didn’t touch any evidence. I’m just a bystander, I wasn’t even involved.","Intermediate tactic: Evidence probe in a French molestation case. Setting: elegant police station, smell of croissants. Female suspect, defensive tone, reflecting Parisian sophistication.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-875,"Who provided the stolen credit card details in the fraud scheme in Mexico City, and how were they distributed?","I don’t know anything about stolen cards. I’m just a cashier, I scan items, that’s it.","Advanced tactic: Probing a fraud network in a Mexican case. Setting: noisy police station, smell of tacos. Male suspect, evasive tone, typical of Mexico City’s expressive culture.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-876,"Can you explain why you were near the scene of the physical assault in Milan, and what did you witness?","I was just shopping at a nearby boutique, didn’t see any assault. I was focused on my errands.","Basic tactic: Witness check in an Italian assault case. Setting: elegant police station, smell of espresso. Female suspect, cooperative tone, reflecting Milan’s reserved sophistication.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-877,"Did you participate in the burglary at the electronics store in Toronto, and if so, what items were taken?","No, I wasn’t involved. I’m just a stock clerk, I organize inventory, not steal it.","Intermediate tactic: Probing involvement in a Canadian burglary case. Setting: modern police precinct, coffee smell. Male suspect, defensive tone, typical of Toronto’s polite demeanor.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-878,"What was your role in the murder in Shanghai, and how did you communicate with the other conspirators?","I don’t know anything about a murder. I’m just a bartender, I serve drinks, nothing else.","Advanced tactic: Conspiracy probe in a Chinese murder case. Setting: noisy police station, city hum. Female suspect, evasive tone, typical of Shanghai’s professional demeanor.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-879,"Can you provide a detailed alibi for the time of the fraud incident at the bank in Dubai, and who can verify it?","I was at a café with my colleagues, having lunch. They can confirm, we were there for an hour.","Basic tactic: Alibi verification in a UAE fraud case. Setting: sleek police station, city noise. Male suspect, cooperative tone, typical of Dubai’s cautious demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-880,"Did you witness or participate in the molestation incident at the park in Rio de Janeiro, and what exactly did you see or do?","I was just jogging, didn’t see anything like that. I stick to my usual route.","Intermediate tactic: Witness probe in a Brazilian molestation case. Setting: humid police station, samba music faintly audible. Female suspect, defensive tone, typical of Rio’s vibrant energy.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-881,"Who orchestrated the burglary at the mansion in Lisbon, and what specific items were targeted?","I don’t know anything about a burglary. I’m just a cleaner, I work in homes, not rob them.","Advanced tactic: Direct accusation in a Portuguese burglary case. Setting: quaint police station, smell of pastries. Male suspect, evasive tone, typical of Lisbon’s reserved politeness.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-882,"Can you confirm your whereabouts during the physical assault at the bar in Sydney, and who can verify your alibi?","I was at home, watching a cricket match with friends. They can confirm, we were together all night.","Basic tactic: Alibi verification in an Australian assault case. Setting: modern police office, air-conditioned. Female suspect, cooperative tone, typical of Sydney’s relaxed demeanor.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-883,"Did you tamper with the financial records in the fraud case in Bogotá, and if so, what was your motive?","No, I didn’t touch any records. I’m just a junior accountant, I don’t have access.","Intermediate tactic: Financial probe in a Colombian fraud case. Setting: humid police station, smell of coffee. Male suspect, defensive tone, reflecting Bogotá’s expressive style.",culprit,"Quick glance away, tense lips",Fidgeting with pen,"Slouched, defensive",Shuffling on tiled floor
INT-884,"What was your involvement in the murder in Manila, and how did you communicate with the other conspirators?","I don’t know anything about a murder. I’m just a bartender, I serve drinks, nothing else.","Advanced tactic: Conspiracy probe in a Philippine murder case. Setting: busy police precinct, tropical heat. Female suspect, evasive tone, reflecting Manila’s laid-back vibe.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-885,"Can you explain your presence at the scene of the burglary in Moscow, and what were you doing?",I was just buying tea at a nearby shop. Didn’t know about any burglary.,"Basic tactic: Alibi check in a Russian burglary case. Setting: cold police station, smell of cigarettes. Male suspect, cooperative tone, typical of Moscow’s direct demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-886,"Did you participate in the molestation incident at the train station in Cape Town, and what exactly did you do?","No, I was just catching a train to work. I didn’t see anything, I was in a hurry.","Intermediate tactic: Probing involvement in a South African molestation case. Setting: humid police station, fan buzzing. Female suspect, defensive tone, typical of Cape Town’s open demeanor.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on tiled floor
INT-887,"Who facilitated the illegal wire transfers in the fraud scheme in Bangkok, and how were the funds laundered?","I don’t know anything about transfers. I’m just a teller, I process transactions.","Advanced tactic: Financial probe in a Thai laundering case. Setting: humid police station, street food smells. Male suspect, evasive tone, typical of Bangkok’s polite restraint.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-888,"Can you provide a detailed alibi for the time of the physical assault at the market in Beijing, and who can verify it?","I was at a noodle shop with colleagues, eating dinner. They can confirm, we were there for hours.","Basic tactic: Alibi verification in a Chinese assault case. Setting: noisy police station, city hum. Female suspect, cooperative tone, typical of Beijing’s reserved demeanor.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
